City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
349,Bourail,NC,77.83,overcast clouds,-21.5667,165.4833,Motel Allamanda
357,Pimentel,PE,77.29,few clouds,-6.8367,-79.9342,Casona Del Muelle
361,Rio Grande,BR,78.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
363,Dhidhdhoo,MV,80.49,scattered clouds,6.8833,73.1,Dhidhoo beach
370,Mabaruma,GY,76.84,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
382,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
383,Ewa Beach,US,77.59,clear sky,21.3156,-158.0072,Uncle Junior Robert
385,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
386,Manoel Urbano,BR,80.8,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
390,Maragogi,BR,82.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
395,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
396,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
397,Kattivakkam,IN,80.08,overcast clouds,13.2167,80.3167,Euronova Freezer
398,Itaueira,BR,84.6,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
400,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
404,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
406,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
417,Honiara,SB,78.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
421,Labuan,MY,80.96,few clouds,5.2767,115.2417,Tiara Labuan Hotel
422,Mananjary,MG,78.58,light rain,-21.2167,48.3333,Vahiny Lodge
424,Vaitape,PF,81.21,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
426,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
431,Santa Maria,BR,79.9,broken clouds,-29.6842,-53.8069,Hotel Morotin
432,Cachoeira Do Sul,BR,86.9,clear sky,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
436,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
439,Pauini,BR,86.61,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
449,Gizo,SB,83.03,overcast clouds,-8.103,156.8419,Imagination Island
452,Ahuimanu,US,77.36,few clouds,21.4447,-157.8378,Paradise Bay Resort
453,Namatanai,PG,79.36,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
456,Ortigueira,BR,75.72,broken clouds,-24.2083,-50.9494,Village das Araucárias
466,Bandarbeyla,SO,75.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
470,Meulaboh,ID,76.14,moderate rain,4.1363,96.1285,Kost Pria
476,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
485,Bandundu,CD,76.75,broken clouds,-3.3167,17.3667,Coja Color
489,Chikwawa,MW,76.53,overcast clouds,-16.0335,34.8009,Thawale Lodge
492,Det Udom,TH,78.26,broken clouds,14.906,105.0784,Chatsuda Resort
502,Nong Phai,TH,77.07,broken clouds,15.9903,101.0618,เอ็ม.เจ รีสอร์ท
507,Bonito,BR,87.71,overcast clouds,-21.1211,-56.4819,Marruá Hotel
511,Kelo,TD,80.53,clear sky,9.3086,15.8066,Plantation de Kelo
516,Morondava,MG,80.8,moderate rain,-20.2833,44.2833,La Case Bambou
528,Punta Cardon,VE,82.81,clear sky,11.6581,-70.215,Bambuda hotel
529,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
531,Cozumel,MX,77.11,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
536,Marovoay,MG,82.54,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
537,Kismayo,SO,78.48,broken clouds,-0.3582,42.5454,Agan-Hotel
538,Amahai,ID,77.99,broken clouds,-3.3333,128.9167,HOTEL ISABELA
546,Mahibadhoo,MV,81.81,few clouds,3.7833,72.9667,Omadhoo Inn
549,Acajutla,SV,86.94,few clouds,13.5928,-89.8275,Laureles
550,San Felipe,VE,85.35,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
553,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
