City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Port Hedland,AU,2022-02-06 15:42:14,-20.3167,118.5667,86.05,79,40,12.66
251,Biak,ID,2022-02-06 15:42:14,-0.9131,122.8766,76.21,82,89,2.15
252,Iqaluit,CA,2022-02-06 15:38:45,63.7506,-68.5145,-34.31,65,20,1.99
253,Beringovskiy,RU,2022-02-06 15:42:15,63.05,179.3167,-16.82,98,15,9.1
254,La Paz,BO,2022-02-06 15:42:15,-16.5,-68.15,53.58,76,75,5.75
255,Nyurba,RU,2022-02-06 15:42:15,63.2842,118.3319,-3.6,98,100,5.14
256,Aswan,EG,2022-02-06 15:37:17,24.0934,32.907,64.85,25,0,11.95
257,Cherskiy,RU,2022-02-06 15:42:15,68.75,161.3,-30.37,100,37,1.45
258,Arrecife,ES,2022-02-06 15:37:35,28.963,-13.5477,69.87,68,0,25.32
259,Baiyin,CN,2022-02-06 15:42:16,36.5583,104.2081,16.68,88,75,5.7
260,Sept-Iles,CA,2022-02-06 15:41:38,50.2001,-66.3821,3.06,52,20,3.0
261,Nouadhibou,MR,2022-02-06 15:42:16,20.931,-17.0347,73.38,68,5,11.5
262,Poum,NC,2022-02-06 15:42:16,-20.2333,164.0167,79.32,83,100,9.15
263,Taltal,CL,2022-02-06 15:42:17,-25.4,-70.4833,71.37,67,2,6.38
264,San Francisco,US,2022-02-06 15:41:00,37.7749,-122.4194,56.32,86,20,1.01
265,Korem,ET,2022-02-06 15:42:17,12.5058,39.5228,54.32,81,37,6.93
266,Port Elizabeth,ZA,2022-02-06 15:37:29,-33.918,25.5701,84.09,83,0,24.16
267,Pochutla,MX,2022-02-06 15:42:17,15.7432,-96.4661,81.82,42,5,3.98
268,Rabat,MA,2022-02-06 15:40:38,33.9911,-6.8401,67.05,75,3,9.22
269,Henties Bay,NA,2022-02-06 15:42:17,-22.116,14.2845,72.86,79,79,8.37
270,Algiers,DZ,2022-02-06 15:42:18,36.7525,3.042,58.82,67,40,17.27
271,Dubbo,AU,2022-02-06 15:39:08,-32.25,148.6167,57.33,82,31,8.05
272,Manaure,CO,2022-02-06 15:42:18,11.7751,-72.4445,84.31,56,2,9.24
273,Enterprise,US,2022-02-06 15:42:18,36.0252,-115.2419,52.09,32,0,4.0
274,Bubaque,GW,2022-02-06 15:41:08,11.2833,-15.8333,78.4,64,9,10.56
275,Holme,DK,2022-02-06 15:42:19,56.1138,10.1725,37.26,87,99,10.76
276,Lata,PT,2022-02-06 15:43:19,40.1629,-8.3327,66.34,29,65,6.06
277,Idlib,SY,2022-02-06 15:43:19,35.9306,36.6339,47.59,83,93,6.73
278,Sonoita,MX,2022-02-06 15:43:19,31.85,-112.8333,55.36,18,2,4.29
279,Okhotsk,RU,2022-02-06 15:43:19,59.3833,143.3,-2.38,67,17,14.16
280,Mitu,CO,2022-02-06 15:43:20,1.1983,-70.1733,86.5,57,59,2.95
281,Meadow Lake,US,2022-02-06 15:43:20,34.8014,-106.5436,38.14,43,0,1.77
282,Luderitz,NA,2022-02-06 15:39:18,-26.6481,15.1594,70.9,72,25,11.72
283,Kailua,US,2022-02-06 15:43:20,21.4022,-157.7394,73.74,80,75,9.22
284,Hualmay,PE,2022-02-06 15:39:32,-11.0964,-77.6139,73.81,71,97,8.9
285,Conde,BR,2022-02-06 15:43:21,-7.2597,-34.9075,87.26,51,20,9.22
286,Mezen,RU,2022-02-06 15:43:21,65.8522,44.24,15.03,93,100,11.16
287,Muros,ES,2022-02-06 15:38:46,42.7762,-9.0603,61.68,54,60,10.8
288,Hendrina,ZA,2022-02-06 15:43:21,-26.1588,29.7153,70.29,55,73,10.78
289,Starup,DK,2022-02-06 15:43:21,55.241,9.535,41.29,71,100,15.95
290,Veraval,IN,2022-02-06 15:43:22,20.9,70.3667,68.74,67,6,8.61
291,Eureka,US,2022-02-06 15:43:22,40.8021,-124.1637,38.59,53,57,3.2
292,Vreden,DE,2022-02-06 15:43:22,52.0379,6.828,46.45,80,100,21.36
293,Itaituba,BR,2022-02-06 15:43:22,-4.2761,-55.9836,86.16,74,40,5.75
294,Bardsir,IR,2022-02-06 15:43:23,29.9227,56.5743,42.85,31,0,3.69
